product_id,title,skus,publication_name,publication_id,published_on_publication,status
gid://shopify/Product/15724628672896,ZONE MORTALIS: COLUMNS & WALLS,99120599014,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724628869504,ZONE MORTALIS: PLATFORMS & STAIRS,99120599015,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724628967808,NECROMUNDA:ZONE MORTALIS FLOOR TILE SET,99120599017,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724629131648,NECROMUNDA: THE BOOK OF RUIN (ENGLISH),60040599029,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724629328256,JOTUNN H-GRADE SERVITOR OGRYNS,99120599020,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724629492096,NECROMUNDA:ZONE MORTALIS:GANG STRONGHOLD,99120599030,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724629688704,NECROMUNDA: BOOK OF THE OUTCAST,60040599031,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724629885312,NECROMUNDA: HIVE SCUM,99120599039,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724630049152,ZONE MORTALIS: UNDERHIVE MARKET,99120599049,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724630180224,THATOS PATTERN: PLATFORMS & WALKWAYS,99120599051,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724630376832,THATOS PATTERN: EXTENDED HAB MODULE,99120599052,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724630540672,THE PATH OF CIRITH UNGOL:SHELOB & GOLLUM,99121499065,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724630704512,NECROMUNDA: CARGO-8 RIDGEHAULER,99120599043,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724630901120,M-E SBG JOURNAL: THE TREACHERY OF GOLLUM,60041499056,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724631064960,NECROMUNDA: CARGO-8 RIDGEHAULER TRAILER,99120599054,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724631228800,NECROMUNDA: BOOK OF THE OUTLANDS (ENG),60040599034,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724631392640,ARANTHIAN SUCCESSION: CINDERAK BURNING,60040599038,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724631654784,NEC. PROMETHIUM TANKS ON CARGO-8 TRAILER,99120599060,Online Store,gid://shopify/Publication/308211384704,false,published
